2024-08-14 | 15:05:43.564 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 11848 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-20 | 16:59:06.280 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000272379AB310>
2024-08-20 | 16:59:06.280 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.started request=<Request [b'POST']>
2024-08-20 | 16:59:06.281 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.complete
2024-08-20 | 16:59:06.281 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.started request=<Request [b'POST']>
2024-08-20 | 16:59:06.281 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.complete
2024-08-20 | 16:59:06.281 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.started request=<Request [b'POST']>
2024-08-20 | 16:59:06.357 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Tue, 20 Aug 2024 11:59:07 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'84.54.84.41'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-20 | 16:59:06.359 | INFO | httpx:_send_single_request:1773 | Thread 7652 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-20 | 16:59:06.359 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.started request=<Request [b'POST']>
2024-08-20 | 16:59:06.360 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.complete
2024-08-20 | 16:59:06.360 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.started
2024-08-20 | 16:59:06.361 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.complete
2024-08-20 | 16:59:06.361 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.started
2024-08-20 | 16:59:06.362 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.complete
2024-08-20 | 16:59:06.362 | SUCCESS | root:success:13 | Thread 7652 | Данные успешно получены
2024-08-20 | 16:59:06.363 | INFO | root:get_cards:54 | Thread 7652 | Кредитная карта пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8 успешно получена
2024-08-20 | 16:59:06.793 | INFO | root:card_payment:214 | Thread 7652 | Попытка снятия средств с карты пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8
2024-08-20 | 16:59:06.793 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 16:59:08.842 | INFO | root:get_uzcard_id:103 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 16:59:08.842 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 16:59:08.842 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 16:59:10.874 | INFO | root:get_card_phone:136 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 16:59:10.874 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 16:59:10.875 | DEBUG | httpx:load_ssl_context:80 | Thread 7652 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-20 | 16:59:10.876 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7652 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_users\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-20 | 16:59:11.026 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-20 | 16:59:11.055 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237A25790>
2024-08-20 | 16:59:11.055 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000272379DD130> server_hostname='api.upay.uz' timeout=5.0
2024-08-20 | 16:59:11.090 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237255F90>
2024-08-20 | 16:59:11.090 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.started request=<Request [b'POST']>
2024-08-20 | 16:59:11.091 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.complete
2024-08-20 | 16:59:11.091 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.started request=<Request [b'POST']>
2024-08-20 | 16:59:11.092 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.complete
2024-08-20 | 16:59:11.092 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.started request=<Request [b'POST']>
2024-08-20 | 16:59:11.272 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Tue, 20 Aug 2024 11:59:12 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'84.54.84.41'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-20 | 16:59:11.273 | INFO | httpx:_send_single_request:1773 | Thread 7652 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-20 | 16:59:11.274 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.started request=<Request [b'POST']>
2024-08-20 | 16:59:11.274 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.complete
2024-08-20 | 16:59:11.274 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.started
2024-08-20 | 16:59:11.275 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.complete
2024-08-20 | 16:59:11.275 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.started
2024-08-20 | 16:59:11.276 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.complete
2024-08-20 | 16:59:11.276 | SUCCESS | root:success:13 | Thread 7652 | Средства успешно сняты
2024-08-20 | 16:59:11.277 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 16:59:13.311 | INFO | root:save_transaction_id:152 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 16:59:13.312 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 16:59:13.786 | INFO | root:card_payment:214 | Thread 7652 | Попытка снятия средств с карты пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8
2024-08-20 | 16:59:13.787 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 16:59:15.835 | INFO | root:get_uzcard_id:103 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 16:59:15.837 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 16:59:15.838 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 16:59:17.877 | INFO | root:get_card_phone:136 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 16:59:17.878 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 16:59:17.879 | DEBUG | httpx:load_ssl_context:80 | Thread 7652 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-20 | 16:59:17.880 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7652 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_users\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-20 | 16:59:18.040 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-20 | 16:59:18.072 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237A2F0D0>
2024-08-20 | 16:59:18.072 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000272379DD400> server_hostname='api.upay.uz' timeout=5.0
2024-08-20 | 16:59:18.104 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237256A10>
2024-08-20 | 16:59:18.104 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.started request=<Request [b'POST']>
2024-08-20 | 16:59:18.104 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.complete
2024-08-20 | 16:59:18.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.started request=<Request [b'POST']>
2024-08-20 | 16:59:18.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.complete
2024-08-20 | 16:59:18.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.started request=<Request [b'POST']>
2024-08-20 | 16:59:18.296 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Tue, 20 Aug 2024 11:59:19 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'84.54.84.41'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-20 | 16:59:18.297 | INFO | httpx:_send_single_request:1773 | Thread 7652 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-20 | 16:59:18.297 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.started request=<Request [b'POST']>
2024-08-20 | 16:59:18.297 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.complete
2024-08-20 | 16:59:18.297 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.started
2024-08-20 | 16:59:18.298 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.complete
2024-08-20 | 16:59:18.298 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.started
2024-08-20 | 16:59:18.298 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.complete
2024-08-20 | 16:59:18.298 | SUCCESS | root:success:13 | Thread 7652 | Средства успешно сняты
2024-08-20 | 16:59:18.298 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 16:59:20.345 | INFO | root:save_transaction_id:152 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 16:59:20.347 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:19.036 | INFO | root:get_cards:30 | Thread 7652 | Попытка получения кредитную карту пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8
2024-08-20 | 17:01:19.036 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 17:01:21.096 | INFO | root:get_uzcard_id:103 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 17:01:21.097 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:21.098 | DEBUG | httpx:load_ssl_context:80 | Thread 7652 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-20 | 17:01:21.098 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7652 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_users\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-20 | 17:01:21.248 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-20 | 17:01:21.281 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237A2F010>
2024-08-20 | 17:01:21.281 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000272379DDA30> server_hostname='api.upay.uz' timeout=5.0
2024-08-20 | 17:01:21.315 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237A2E390>
2024-08-20 | 17:01:21.315 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.started request=<Request [b'POST']>
2024-08-20 | 17:01:21.315 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.complete
2024-08-20 | 17:01:21.315 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.started request=<Request [b'POST']>
2024-08-20 | 17:01:21.316 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.complete
2024-08-20 | 17:01:21.316 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.started request=<Request [b'POST']>
2024-08-20 | 17:01:21.386 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Tue, 20 Aug 2024 12:01:22 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'84.54.84.41'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-20 | 17:01:21.387 | INFO | httpx:_send_single_request:1773 | Thread 7652 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-20 | 17:01:21.387 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.started request=<Request [b'POST']>
2024-08-20 | 17:01:21.387 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.complete
2024-08-20 | 17:01:21.387 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.started
2024-08-20 | 17:01:21.388 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.complete
2024-08-20 | 17:01:21.388 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.started
2024-08-20 | 17:01:21.388 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.complete
2024-08-20 | 17:01:21.388 | SUCCESS | root:success:13 | Thread 7652 | Данные успешно получены
2024-08-20 | 17:01:21.388 | INFO | root:get_cards:54 | Thread 7652 | Кредитная карта пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8 успешно получена
2024-08-20 | 17:01:21.804 | INFO | root:card_payment:214 | Thread 7652 | Попытка снятия средств с карты пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8
2024-08-20 | 17:01:21.804 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 17:01:23.845 | INFO | root:get_uzcard_id:103 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 17:01:23.846 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:23.847 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 17:01:25.879 | INFO | root:get_card_phone:136 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 17:01:25.880 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:25.881 | DEBUG | httpx:load_ssl_context:80 | Thread 7652 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-20 | 17:01:25.882 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7652 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_users\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-20 | 17:01:26.043 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-20 | 17:01:26.072 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237A2C090>
2024-08-20 | 17:01:26.072 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000272379DD910> server_hostname='api.upay.uz' timeout=5.0
2024-08-20 | 17:01:26.104 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027238D5CB50>
2024-08-20 | 17:01:26.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.started request=<Request [b'POST']>
2024-08-20 | 17:01:26.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.complete
2024-08-20 | 17:01:26.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.started request=<Request [b'POST']>
2024-08-20 | 17:01:26.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.complete
2024-08-20 | 17:01:26.105 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.started request=<Request [b'POST']>
2024-08-20 | 17:01:26.326 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Tue, 20 Aug 2024 12:01:27 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'84.54.84.41'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-20 | 17:01:26.327 | INFO | httpx:_send_single_request:1773 | Thread 7652 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-20 | 17:01:26.328 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.started request=<Request [b'POST']>
2024-08-20 | 17:01:26.328 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.complete
2024-08-20 | 17:01:26.328 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.started
2024-08-20 | 17:01:26.328 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.complete
2024-08-20 | 17:01:26.330 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.started
2024-08-20 | 17:01:26.330 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.complete
2024-08-20 | 17:01:26.330 | SUCCESS | root:success:13 | Thread 7652 | Средства успешно сняты
2024-08-20 | 17:01:26.331 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 17:01:28.377 | INFO | root:save_transaction_id:152 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 17:01:28.378 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:28.862 | INFO | root:card_payment:214 | Thread 7652 | Попытка снятия средств с карты пользователя с UUID: 893d3603-a690-406f-bde8-ee8bb7ea97f8
2024-08-20 | 17:01:28.862 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 17:01:30.900 | INFO | root:get_uzcard_id:103 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 17:01:30.901 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:30.901 | DEBUG | aioredis:create_connection:110 | Thread 7652 | Creating tcp connection to ('localhost', 6379)
2024-08-20 | 17:01:32.958 | INFO | root:get_card_phone:136 | Thread 7652 | Redis успешно закрыт
2024-08-20 | 17:01:32.959 | DEBUG | aioredis:_do_close:158 | Thread 7652 | Closed 1 connection(s)
2024-08-20 | 17:01:32.960 | DEBUG | httpx:load_ssl_context:80 | Thread 7652 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-20 | 17:01:32.961 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7652 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_users\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-20 | 17:01:33.123 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-20 | 17:01:33.151 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000027237A1A750>
2024-08-20 | 17:01:33.151 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000272379DCDD0> server_hostname='api.upay.uz' timeout=5.0
2024-08-20 | 17:01:33.183 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000272379FDF90>
2024-08-20 | 17:01:33.183 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.started request=<Request [b'POST']>
2024-08-20 | 17:01:33.183 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_headers.complete
2024-08-20 | 17:01:33.184 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.started request=<Request [b'POST']>
2024-08-20 | 17:01:33.184 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | send_request_body.complete
2024-08-20 | 17:01:33.184 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.started request=<Request [b'POST']>
2024-08-20 | 17:01:33.396 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Tue, 20 Aug 2024 12:01:34 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'84.54.84.41'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-20 | 17:01:33.396 | INFO | httpx:_send_single_request:1773 | Thread 7652 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-20 | 17:01:33.396 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.started request=<Request [b'POST']>
2024-08-20 | 17:01:33.396 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | receive_response_body.complete
2024-08-20 | 17:01:33.397 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.started
2024-08-20 | 17:01:33.397 | DEBUG | httpcore.http11:atrace:85 | Thread 7652 | response_closed.complete
2024-08-20 | 17:01:33.397 | DEBUG | httpcore.connection:atrace:85 | Thread 7652 | close.started
